epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.356,1.37968,4.26037,1.15582,0.50175,0.13846,0.27316,0.16735,1.99013,6.06909,1.78958,0.06832,0.00032,0.00032
2,265.342,1.19825,2.87608,1.11641,0.23491,0.91154,0.48003,0.32347,1.20809,4.42135,1.19729,0.0356436,0.000643565,0.000643565
3,404.904,1.31969,2.55566,1.18677,0.57313,0.59947,0.54587,0.36896,1.1685,2.99213,1.19154,0.0029606,0.000960596,0.000960596
4,549.877,1.20869,2.31698,1.14716,0.35084,0.43338,0.3492,0.22037,1.23153,3.24888,1.27974,0.0009703,0.0009703,0.0009703
5,695.676,1.23,2.28318,1.13937,0.52592,0.82212,0.56224,0.35384,1.24729,2.2105,1.23184,0.0009604,0.0009604,0.0009604
6,824.148,1.22379,2.11986,1.145,0.46401,0.83558,0.55828,0.37303,1.12375,2.24501,1.16781,0.0009505,0.0009505,0.0009505
7,933.169,1.10803,2.05906,1.07317,0.49872,0.89761,0.55159,0.37609,1.10796,1.88467,1.16102,0.0009406,0.0009406,0.0009406
8,1043.12,1.15297,1.96965,1.06473,0.48067,0.92517,0.6188,0.39568,1.18087,1.95775,1.16962,0.0009307,0.0009307,0.0009307
9,1158.56,1.1619,1.96701,1.09779,0.48258,0.87372,0.59204,0.40486,1.01802,1.8738,1.09716,0.0009208,0.0009208,0.0009208
10,1270.37,1.1663,1.97877,1.10893,0.502,0.92436,0.67219,0.46887,1.06656,1.74599,1.10972,0.0009109,0.0009109,0.0009109
11,1394.05,1.08931,1.89716,1.07413,0.52566,0.82276,0.65524,0.44861,1.09824,1.7584,1.12055,0.000901,0.000901,0.000901
12,1518.26,1.07749,1.76958,1.03717,0.56782,0.83622,0.70054,0.4862,1.0949,1.75853,1.14313,0.0008911,0.0008911,0.0008911
13,1632.94,1.09704,1.77488,1.04487,0.61255,0.81186,0.70666,0.46153,1.04983,1.6235,1.09803,0.0008812,0.0008812,0.0008812
14,1744.36,1.07521,1.72715,1.05038,0.6144,0.84047,0.74291,0.51644,1.01074,1.59218,1.07988,0.0008713,0.0008713,0.0008713
15,4904.42,1.02894,1.61896,1.04258,0.73819,0.76154,0.8022,0.57253,1.02012,1.5525,1.09749,0.0008614,0.0008614,0.0008614
16,5052.03,1.06812,1.63405,1.06148,0.6536,0.84712,0.8738,0.5972,1.01625,1.53429,1.09902,0.0008515,0.0008515,0.0008515
17,5194.7,1.05164,1.60089,1.06183,0.65829,0.83864,0.8101,0.55931,1.08039,1.66983,1.11442,0.0008416,0.0008416,0.0008416
18,5338.78,1.03386,1.58103,1.01283,0.59159,0.87212,0.85072,0.60818,1.07417,1.63461,1.11822,0.0008317,0.0008317,0.0008317
19,5498.93,1.02252,1.52283,1.0227,0.7161,0.80132,0.83166,0.57152,1.09203,1.43318,1.11677,0.0008218,0.0008218,0.0008218
20,5644.97,0.99723,1.4386,1.02603,0.74856,0.74487,0.81519,0.55879,1.0275,1.62062,1.11198,0.0008119,0.0008119,0.0008119
21,5805.97,1.0154,1.42634,1.02538,0.57304,0.80778,0.75965,0.51771,1.03555,2.51274,1.10077,0.000802,0.000802,0.000802
22,5967.42,1.01936,1.39664,1.03097,0.72939,0.88526,0.90345,0.63212,1.00027,1.32001,1.09241,0.0007921,0.0007921,0.0007921
23,6104.14,0.98527,1.38236,1.00932,0.70697,0.88408,0.88057,0.623,1.00575,1.39745,1.08717,0.0007822,0.0007822,0.0007822
24,6239.84,0.96408,1.26573,0.97612,0.74808,0.83825,0.90386,0.64092,1.01996,1.50167,1.09465,0.0007723,0.0007723,0.0007723
25,6375.68,0.94354,1.21194,0.98545,0.84585,0.83686,0.91242,0.64038,1.0237,1.23556,1.09069,0.0007624,0.0007624,0.0007624
26,6507.94,0.95267,1.25665,1.01356,0.91062,0.79744,0.9231,0.67326,0.98556,1.07955,1.0986,0.0007525,0.0007525,0.0007525
27,6639.39,0.96711,1.32344,1.00934,0.67014,0.8156,0.84059,0.59256,1.00788,1.66529,1.12648,0.0007426,0.0007426,0.0007426
